[Name]
Export Surface 1

[Parameters]
Ncompt = 1
Nnodes = 9526
Rotation Axis From = 0.00000000 [m], 0.00000000 [m], 0.00000000 [m]
Rotation Axis To   = 0.00000000 [m], 0.00000000 [m], 1.00000000 [m]
Rotating Speed     = 1047.19755 [s^-1 rad]
Frequency          = 401.532061 [Hz]
Nodal Diameter     = 0

[Spatial Fields]
Initial X, Initial Y, Initial Z

[Data]
Initial X [ m ], Initial Y [ m ], Initial Z [ m ], Real Pressure [ kg m^-1 s^-2 ], Imaginary Pressure [ kg m^-1 s^-2 ]
-3.11174246E-002,  2.68494840E-001,  4.91016627E-003,  2.44826805E+003,  8.56734750E+002
-3.11509904E-002,  2.68972900E-001,  4.93013885E-003,  2.24229338E+003,  7.35960874E+002
-3.11788249E-002,  2.69370177E-001,  4.94663886E-003,  2.15815476E+003,  5.51943924E+002
-3.12018909E-002,  2.69700022E-001,  4.96027016E-003,  2.17728288E+003,  9.43431897E+002
-3.12209933E-002,  2.69973653E-001,  4.97153092E-003,  1.97734235E+003,  8.61476155E+001
-3.12368040E-002,  2.70200477E-001,  4.98083250E-003,  1.85717776E+003,  4.49618189E+002
-3.12498828E-002,  2.70388359E-001,  4.98851438E-003,  1.77363496E+003,  3.13994780E+002
-3.12606963E-002,  2.70543880E-001,  4.99485744E-003,  1.69754075E+003,  2.68234467E+002
-3.12696326E-002,  2.70672532E-001,  5.00009377E-003,  1.62917150E+003,  2.48988544E+002
-3.12770146E-002,  2.70778899E-001,  5.00441565E-003,  1.54152277E+003,  2.27828256E+002
-3.12831098E-002,  2.70866790E-001,  5.00798169E-003,  1.45655073E+003,  4.03336681E+002
-3.12881410E-002,  2.70939382E-001,  5.01092355E-003,  1.18702762E+003,  2.04473655E+002
-3.12922921E-002,  2.70999303E-001,  5.01334928E-003,  2.37507217E+002,  3.88471105E+003
-2.32760201E-002,  1.63350010E-001,  3.98951220E-004,  6.84834635E+001,  2.19889967E+001
-2.32769832E-002,  1.63359973E-001,  3.99078542E-004,  6.86900206E+001,  2.20983904E+001
-2.32782157E-002,  1.63372741E-001,  3.99243281E-004,  6.90671459E+001,  2.23148027E+001
-2.32797952E-002,  1.63389105E-001,  3.99454344E-004,  7.00180500E+001,  2.27828490E+001
-2.32818193E-002,  1.63410076E-001,  3.99724737E-004,  7.12424653E+001,  2.34837285E+001
-2.32844131E-002,  1.63436952E-001,  4.00071101E-004,  7.02612435E+001,  2.36253354E+001
-2.32877370E-002,  1.63471395E-001,  4.00514723E-004,  6.66866080E+001,  2.31930018E+001
-2.32919963E-002,  1.63515536E-001,  4.01082819E-004,  6.45907987E+001,  2.37088282E+001
-2.32974540E-002,  1.63572106E-001,  4.01810157E-004,  6.35623937E+001,  2.47463787E+001
-2.33044473E-002,  1.63644604E-001,  4.02741117E-004,  6.67191794E+001,  2.75089662E+001
-2.33134075E-002,  1.63737514E-001,  4.03932284E-004,  7.35210436E+001,  3.15152794E+001
-2.33248873E-002,  1.63856586E-001,  4.05455695E-004,  7.55193442E+001,  3.29152354E+001
-2.33395932E-002,  1.64009184E-001,  4.07401971E-004,  8.14349227E+001,  3.52567484E+001
-2.33584271E-002,  1.64204750E-001,  4.09883312E-004,  1.01662819E+002,  4.40633578E+001
-2.33825445E-002,  1.64455382E-001,  4.13043190E-004,  1.20089428E+002,  5.27947325E+001
-2.34134238E-002,  1.64776586E-001,  4.17062562E-004,  1.33528793E+002,  5.79443451E+001
-2.34529571E-002,  1.65188234E-001,  4.22169654E-004,  1.51876401E+002,  7.03508683E+001
-2.35035662E-002,  1.65715793E-001,  4.28653444E-004,  1.56210265E+002,  7.14955718E+001
-2.35683555E-002,  1.66391902E-001,  4.36883014E-004,  1.58041800E+002,  7.77793228E+001
-2.36513092E-002,  1.67258386E-001,  4.47336596E-004,  1.64640127E+002,  8.02584761E+001
-2.37575505E-002,  1.68368848E-001,  4.60645997E-004,  1.74518545E+002,  8.49289838E+001
-2.38936789E-002,  1.69791979E-001,  4.77662128E-004,  1.80074206E+002,  8.85621517E+001
-2.40682000E-002,  1.71615805E-001,  4.99537543E-004,  1.86587837E+002,  9.68734730E+001
-2.42920302E-002,  1.73953135E-001,  5.27772465E-004,  1.88400883E+002,  9.37987432E+001
-2.45747066E-002,  1.76953649E-001,  5.68203257E-004,  2.39325757E+002,  1.24417762E+002
-2.48238192E-002,  1.80805847E-001,  7.19768048E-004,  2.20142179E+002,  1.28162700E+002
-2.51448425E-002,  1.85743561E-001,  9.15991911E-004,  2.58938941E+002,  1.68301010E+002
-2.55338713E-002,  1.92098143E-001,  1.20002111E-003,  3.09150440E+002,  2.27186250E+002
-2.58558837E-002,  1.98454935E-001,  1.55221742E-003,  3.74009579E+002,  2.96696893E+002
-2.61872933E-002,  2.04812582E-001,  1.91608461E-003,  4.82108221E+002,  4.29159202E+002
-2.65306917E-002,  2.11167535E-001,  2.29079858E-003,  6.26600676E+002,  5.89695136E+002
-2.68869151E-002,  2.17520215E-001,  2.67427534E-003,  7.42357570E+002,  9.51171605E+002
-2.73379508E-002,  2.23860169E-001,  3.00598681E-003,  9.40393139E+002,  1.50338519E+003
-2.77918349E-002,  2.30198070E-001,  3.34244473E-003,  1.19357653E+003,  1.23616380E+003
-2.83135998E-002,  2.36529681E-001,  3.64031135E-003,  1.53480307E+003,  1.73502469E+003
-2.87651569E-002,  2.41971338E-001,  3.89082023E-003,  1.79253101E+003,  2.10280580E+003
-2.91526546E-002,  2.46615111E-001,  4.09769725E-003,  1.96811076E+003,  2.41198326E+003
-2.94827508E-002,  2.50564829E-001,  4.26647982E-003,  2.19146043E+003,  2.79690471E+003
-2.97613397E-002,  2.53913780E-001,  4.40648809E-003,  2.32163317E+003,  2.79900354E+003
-2.99960312E-002,  2.56745640E-001,  4.52253837E-003,  2.44782541E+003,  5.91891860E+003
-3.01784896E-002,  2.59135283E-001,  4.62442962E-003,  2.47146104E+003,  3.83964342E+003
-3.03249304E-002,  2.61147191E-001,  4.71128370E-003,  2.51433087E+003,  4.94804902E+003
-3.04475616E-002,  2.62837401E-001,  4.78324543E-003,  2.44754520E+003,  3.14691618E+003
-3.05501324E-002,  2.64254591E-001,  4.84289867E-003,  2.43705894E+003,  3.06383248E+003
-3.06358304E-002,  2.65440920E-001,  4.89236808E-003,  2.35121579E+003,  2.54570070E+003
-3.07073527E-002,  2.66432509E-001,  4.93339965E-003,  2.28393216E+003,  2.81689324E+003
-3.07669821E-002,  2.67260200E-001,  4.96743372E-003,  2.20956117E+003,  2.48354600E+003
-3.08166452E-002,  2.67950208E-001,  4.99566019E-003,  2.18275518E+003,  2.77320596E+003
-3.08579691E-002,  2.68524787E-001,  5.01906580E-003,  2.11253442E+003,  2.52658538E+003
-3.08923225E-002,  2.69002730E-001,  5.03846808E-003,  2.02060404E+003,  2.19882591E+003
-3.09208570E-002,  2.69399909E-001,  5.05454649E-003,  1.95349271E+003,  2.00236528E+003
-3.09445391E-002,  2.69729669E-001,  5.06786516E-003,  1.80300225E+003,  1.77952942E+003
-3.09641789E-002,  2.70003225E-001,  5.07889324E-003,  1.70988909E+003,  2.00516749E+003
-3.09804550E-002,  2.70229983E-001,  5.08802081E-003,  1.59207628E+003,  1.89361964E+003
-3.09939340E-002,  2.70417809E-001,  5.09557182E-003,  1.45576994E+003,  1.82041541E+003
-3.10050899E-002,  2.70573288E-001,  5.10181609E-003,  1.29618548E+003,  1.80840941E+003
-3.10143173E-002,  2.70701904E-001,  5.10697721E-003,  1.12256607E+003,  1.75895947E+003
-3.10219455E-002,  2.70808241E-001,  5.11124140E-003,  8.98121510E+002,  1.62331976E+003
-3.10282481E-002,  2.70896106E-001,  5.11476289E-003,  6.73181900E+002,  1.51623295E+003
-3.10334528E-002,  2.70968671E-001,  5.11766985E-003,  4.18020815E+002,  1.19445240E+003
-3.10377489E-002,  2.71028574E-001,  5.12006882E-003, -5.79104857E+002,  7.07001736E+002
-1.06592108E-002,  1.64655337E-001,  8.50948271E-003, -7.26142084E+000,  1.68524603E+001
