"Time","Torque_in","Clutch1_in","Clutch2_in","Clutch3_in"
1.09699999999999,0.941083133188296,0.191864702853111,1,1
1.09799999999999,0.627905195296327,0.190631261201594,1,1
1.09899999999999,0.314107590784514,0.189397518517293,1,1
1.09999999999999,3.26972123129561E-12,0.18816347674846,1,1
1.10099999999999,-0.314107590777982,0.186929137843813,1,1
1.10199999999999,-0.627905195289805,0.185694503752542,1,1
1.10299999999999,-0.941083133181785,0.184459576424303,1,1
1.10399999999999,-1.25333233563966,0.183224357809215,1,1
1.10499999999999,-1.56434465039891,0.181988849857856,1,1
1.10599999999999,-1.87381314585383,0.180753054521263,1,1
1.10699999999999,-2.181432413962,0.179516973750924,1,1
1.10799999999999,-2.48689887164512,0.178280609498781,1,1
1.10899999999999,-2.78991106038886,0.17704396371722,1,1
1.10999999999999,-3.09016994374604,0.175807038359075,1,1
1.11099999999999,-3.38737920244948,0.174569835377619,1,1
1.11199999999999,-3.68124552684336,0.173332356726565,1,1
1.11299999999999,-3.97147890634439,0.172094604360061,1,1
1.11399999999999,-4.25779291564733,0.170856580232686,1,1
1.11499999999999,-4.5399049973921,0.16961828629945,1,1
1.11599999999999,-4.8175367410138,0.168379724515786,1,1
1.11699999999999,-5.09041415750039,0.167140896837555,1,1
1.11799999999999,-5.35826794978668,0.165901805221034,1,1
1.11899999999999,-5.62083377851806,0.164662451622917,1,1
1.11999999999999,-5.87785252292153,0.163422838000313,1,1
1.12099999999999,-6.1290705365266,0.162182966310742,1,1
1.12199999999999,-6.37423989748379,0.160942838512129,1,1
1.12299999999999,-6.61311865323347,0.159702456562806,1,1
1.12399999999999,-6.84547105928389,0.158461822421506,1,1
1.12499999999999,-7.07106781186255,0.157220938047358,1,1
1.12599999999999,-7.28968627421126,0.155979805399889,1,1
1.12699999999999,-7.50111069630181,0.154738426439017,1,1
1.12799999999999,-7.70513242775519,0.153496803125048,1,1
1.12899999999999,-7.90155012375429,0.152254937418675,1,1
1.12999999999999,-8.09016994374694,0.151012831280974,1,1
1.13099999999999,-8.27080574274317,0.149770486673399,1,1
1.13199999999999,-8.44327925501781,0.148527905557784,1,1
1.13299999999999,-8.60742027003719,0.147285089896331,1,1
1.13399999999999,-8.76306680043649,0.146042041651618,1,1
1.13499999999999,-8.91006524188164,0.144798762786586,1,1
1.13599999999999,-9.04827052465827,0.143555255264544,1,1
1.13699999999999,-9.177546256838,0.142311521049159,1,1
1.13799999999999,-9.29776485888083,0.141067562104457,1,1
1.13899999999999,-9.40880768954069,0.13982338039482,1,1
1.13999999999999,-9.5105651629501,0.138578977884979,1,1
1.14099999999999,-9.60293685676812,0.137334356540017,1,1
1.14199999999999,-9.68583161128514,0.13608951832536,1,1
1.14299999999998,-9.75916761938644,0.134844465206778,1,1
1.14399999999998,-9.82287250728599,0.13359919915038,1,1
1.14499999999998,-9.87688340595062,0.13235372212261,1,1
1.14599999999998,-9.92114701314417,0.131108036090247,1,1
1.14699999999998,-9.95561964603034,0.1298621430204,1,1
1.14799999999998,-9.98026728428241,0.128616044880503,1,1
1.14899999999998,-9.99506560365716,0.127369743638316,1,1
1.14999999999998,-10,0.126123241261917,1,1
1.15099999999998,-9.99506560365747,0.124876539719706,1,1
1.15199999999998,-9.98026728428303,0.123629640980393,1,1
1.15299999999998,-9.95561964603128,0.122382547013002,1,1
1.15399999999998,-9.92114701314542,0.121135259786865,1,1
1.15499999999998,-9.87688340595219,0.119887781271618,1,1
1.15599999999998,-9.82287250728786,0.1186401134372,1,1
1.15699999999998,-9.75916761938862,0.117392258253849,1,1
1.15799999999998,-9.68583161128762,0.116144217692098,1,1
1.15899999999998,-9.60293685677091,0.114895993722774,1,1
1.15999999999998,-9.51056516295319,0.113647588316994,1,1
1.16099999999998,-9.40880768954408,0.112399003446159,1,1
1.16199999999998,-9.2977648588845,0.111150241081956,1,1
1.16299999999998,-9.17754625684198,0.10990130319635,1,1
1.16399999999998,-9.04827052466253,0.108652191761585,1,1
1.16499999999998,-8.91006524188619,0.107402908750179,1,1
